"svc_cde","svc_nme","trade_cde","tradelane_cde","svc_type","eff_start_iodt","eff_end_iodt","svc_id","ssm_svc_id","voy_assgn_to","rec_cre_iodt","rec_cre_by","rec_upd_iodt","rec_upd_by","oa_cmn_cde","rec_cre_ts"
ELX,EGYPT LEBANON EXPRESS EXPIRED,IET,IET,Public Feeder,"20140210000000.000","20141201000000.000",461,10316,Entire Service,"20140217060110.525",XIERO,"20170523050408.907",XUJE7,,"20221211211512.000021"
STU,SPAIN TUNISIA BY UFS EXPIRED,IET,IET,Public Feeder,"20140317000000.000","20150601000000.000",521,10333,Entire Service,"20140321052303.021",XIASE,"20150727013531.241",XUJE7,,"20221211211512.000023"
SBXA,SCAN BALTIC EXPRESS A EXPIRED,IET,IET,EINT Feeder,"20140822000000.000","20151201000000.000",761,10354,Entire Service,"20140822095504.223",XIERO,"20170523045533.608",XUJE7,,"20221211211512.000023"
SBXE,SCAN BALTIC EXPRESS E EXPIRED,IET,IET,EINT Feeder,"20140822000000.000","20151201000000.000",765,10358,Entire Service,"20140822095715.723",XIERO,"20170523045613.895",XUJE7,,"20221211211512.000023"
SBXF,SCAN BALTIC EXPRESS F EXPIRED,IET,IET,EINT Feeder,"20140822000000.000","20151202000000.000",766,10359,Entire Service,"20140822095753.515",XIERO,"20170523045634.414",XUJE7,,"20221211211512.000024"
SBXG,SCAN BALTIC EXPRESS G EXPIRED,IET,IET,EINT Feeder,"20140822000000.000","20151202000000.000",767,10360,Entire Service,"20140822095838.486",XIERO,"20170523045635.100",XUJE7,,"20221211211512.000024"
IA1,IAT DUMMY SERVICE 1,IAT,IAT,EINT (Int),"20150801000000.000","20181231000000.000",1341,10395,Entire Service,"20150817053215.018",FEIFR,"20181231150004.016",IR4_ITS,,"20221211211512.000024"
PRS,PIRAEUS RIJEKA EXPRESS,IET,SES,Public Feeder,"20190714000000.000","20231231000000.000",198921,1061000,Entire Service,"20190723061858.049","1041","20221211130001.770",IR4_ITS,,"20221211211512.000024"
NGX,NIGERIA GHANA EXPRESS,LAT,ASA,Public Feeder,"20211110000000.000","20251231000000.000",342921,1073400,Entire Service,"20211119105248.157","1041","20221211130001.724",IR4_ITS,,"20221211211512.000024"
EAXX,EAST AFRICA EXPRESS X,LAT,AEA,Trunk Vessel,"20211201000000.000","20231231000000.000",356921,1074301,Entire Service,"20211221082024.251","1041","20221211130001.132",IR4_ITS,,"20221211211512.000024"
SHT,SHANTOU-HONGKONG,IAT,IAT,Barge service,"20220325000000.000","20251231000000.000",372921,1075600,Entire Service,"20220325014412.175","1041","20221211130001.561",IR4_ITS,,"20221211211512.000024"
PSS,PENANG STRAIT SERVICE EXPIRED,IAT,IAT,FINT,"20140418000000.000","20151120000000.000",601,10344,Entire Service,"20140418010610.416",SONGLU,"20160106085420.373",XIERO,,"20221211211512.000024"
PMID,PUBLIC FEEDER IN GULF REGION,IAT,IAT,Public Feeder,"20150401000000.000","20251231000000.000",1081,10378,Entire Service,"20150421080212.173",LIJO2,"20221211130001.169",IR4_ITS,,"20221211211512.000024"
SBE2,SCAN BALTIC EXPRESS E 2,IET,NEN,EINT,"20160601000000.000","20271231000000.000",1881,10430,Entire Service,"20160601042924.532",NIUGA,"20221211130000.677",IR4_ITS,,"20221211211512.000024"
LL7,ASIA EUROPE SERVICE LOOP 7,AET,AEC,Trunk Vessel,"20190305000000.000","20251231000000.000",144921,1057104,Entire Service,"20190306080214.885","1041","20221211130000.709",IR4_ITS,NEU7,"20221211211512.000025"
EWX,EUROPE WEST COSTAL OF SOUTH AMERICA EXPRESS,LAT,ELW,Trunk Vessel,"20191101000000.000","20301231000000.000",220921,1063400,Entire Service,"20191105044948.772","1041","20221211130000.306",IR4_ITS,,"20221211211512.000025"
JMV,JAPAN-MALAYSIA-VIETNAM SERVICE,IAT,IAT,EINT,"20200701000000.000","20251231000000.000",248921,1066800,Entire Service,"20200722021700.532","1041","20221211130001.042",IR4_ITS,,"20221211211512.000025"
IGX1,ISRAEL GREECE EXPRESS,IET,SES,Public Feeder,"20211101000000.000","20231231000000.000",346921,1073600,Entire Service,"20211124132136.152","1041","20221211130000.926",IR4_ITS,,"20221211211512.000025"
UIG2,UAE-INDIAN SUB-CONTINENT GULF 2,IAT,IAT,EINT,"20220801000000.000","20221207000000.000",390921,1076900,Entire Service,"20220810024636.261","1041","20221206150002.387",IR4_ITS,,"20221211211512.000025"
HS3,JAPAN HONG KONG SOUTH EAST ASIA SERVICE HS3 EXPIRED,IAT,IAT,EINT Feeder,"20140107000000.000","20161231000000.000",361,10311,Entire Service,"20140107082548.601",XIASE,"20170301034520.110",LIJO2,,"20221211211512.000025"
AX3,ATLANTIC EXPRESS 3,TAT,TAN,Trunk Vessel,"20140331000000.000","20170531000000.000",563,10339,Entire Service,"20140331065720.156",ZHANGMA4,"20170601100214.873",XINNO,,"20221211211512.000025"
MCS,MALAYSIA CHINA SERVICE EXPIRED,IAT,IAT,EINT (Ext),"20151011000000.000","20170130000000.000",1481,10408,Entire Service,"20151110062306.168",XIERO,"20170215081124.216",XIERO,,"20221211211512.000025"
